L   Train   Test   Cross  Time 
0  95.04  94.58  94.29  40.25899648666382
5  94.954  94.47  94.64  39.6964750289917
10  95.44  95.08  94.75  40.2106728553772
15  95.054  94.7  94.32  39.8853600025177
15  94.884  94.6  94.38  38.750099420547485
20  95.174  94.8  94.38  36.6272246837616
20  95.304  95.07  94.46  36.7493417263031
25  94.904  94.54  94.03  37.21329188346863
30  94.69  94.31  94.18  36.0309362411499
35  94.5  94.17  94.14  36.01392102241516
40  94.506  94.29  93.72  37.63725137710571
45  94.334  94.26  93.81  36.994587421417236
50  94.27  94.11  93.63  36.79099488258362
55  93.85  93.78  93.44  37.52238583564758
60  93.88  93.89  93.3  37.29488444328308
60  93.912  93.75  93.56  37.104379177093506
10  94.946  94.46  94.71  37.24728035926819
20  64.322  63.82  61.92  27.623494386672974
20  72.32  72.14  71.18  24.024048328399658
20  88.076  87.59  87.35  28.78490114212036
20  90.282  90.08  90.27  30.122053623199463
20  93.08  92.74  92.7  31.30055856704712
20  93.41  93.07  92.57  33.34539866447449
20  11.484  11.35  10.0  3.9821972846984863
